iter	RMSE
220	1.144101032
221	1.143604222
222	1.143275528
223	1.142594879
224	1.141858748
225	1.141338965
226	1.140820072
227	1.140445117
228	1.13969444
229	1.139190252
230	1.138649812
231	1.138148142
232	1.137420608
233	1.136891424
234	1.136389207
235	1.135917711
236	1.135345828
237	1.134936627
238	1.134078423
239	1.133243267
240	1.132702985
241	1.132177024
242	1.131614632
243	1.131135476
244	1.130380045
245	1.129713346
246	1.129168216
247	1.128745207
248	1.128285885
249	1.128070629
250	1.127554478
251	1.127109708
252	1.12659419
253	1.126031506
254	1.125481868
255	1.124805724
256	1.124433051
257	1.12400563
258	1.123629978
259	1.123116312
260	1.12264363
261	1.122253088
262	1.121770118
263	1.121388856
264	1.121000198
265	1.120609576
266	1.120089966
267	1.119897669
268	1.11939157
269	1.119072592
270	1.118362753
271	1.117978133
272	1.117527152
273	1.117035954
274	1.116530035
275	1.11606867
276	1.115784166
277	1.115320015
278	1.114694844
279	1.114077436
280	1.113540434
281	1.113116054
282	1.112723768
283	1.112156223
284	1.111917253
285	1.111678464
286	1.110940473
287	1.110279129
288	1.109867098
289	1.109404835
290	1.108897479
291	1.108434052
292	1.107618584
293	1.107159488
294	1.106546461
295	1.106121515
296	1.105564504
297	1.105110697
298	1.104503979
299	1.104078453
300	1.103705093
301	1.102994857
302	1.102271281
303	1.101714444
304	1.101306468
305	1.100851854
306	1.10039307
307	1.099925326
308	1.099439543
309	1.099148925
310	1.098683621
311	1.098281433
312	1.097746486
313	1.097327442
314	1.096796463
315	1.096403495
316	1.095872744
317	1.095554155
318	1.095141006
319	1.094598717
320	1.09408434
321	1.093495381
322	1.09304582
323	1.092552157
324	1.092327253
325	1.091910777
326	1.091623607
327	1.090904051
328	1.090311636
329	1.089817786
330	1.089553201
331	1.089120055
332	1.088621985
333	1.088118357
334	1.087613138
335	1.086828771
336	1.086337302
337	1.085863185
338	1.085527835
339	1.084954945
340	1.084659731
341	1.084107265
342	1.083581694
343	1.083208287
344	1.082845681
345	1.08235634
346	1.081904693
347	1.081611632
348	1.081239624
349	1.08096044
350	1.080800247
351	1.080448371
352	1.079881684
353	1.079466758
354	1.079291104
355	1.078911642
356	1.078455044
357	1.07798039
358	1.077600109
359	1.077082655
360	1.076582084
361	1.076307562
362	1.075907047
363	1.075768376
364	1.075313912
365	1.074880963
366	1.074582972
367	1.074372198
368	1.074017831
369	1.073565599
370	1.073318317
371	1.072944226
372	1.072339578
373	1.071868685
374	1.071364223
375	1.070936398
376	1.07042665
377	1.069956365
378	1.069608429
379	1.069348173
380	1.069075349
381	1.068824758
382	1.068546824
383	1.068306003
384	1.067908688
385	1.067552005
386	1.067314871
387	1.066858757
388	1.066525187
389	1.066378931
390	1.065964336
391	1.065419537
392	1.065093867
393	1.064757752
394	1.064373148
395	1.064134078
396	1.063770294
397	1.063573425
398	1.063445225
399	1.063059167
400	1.062676213
401	1.06228267
402	1.061934793
403	1.061503045
404	1.061191642
405	1.060771655
406	1.060499307
407	1.060183249
408	1.059764755
409	1.059239323
410	1.058799968
411	1.058218667
412	1.057917102
413	1.057461602
414	1.056928656
415	1.056477694
416	1.055944628
417	1.055595222
418	1.055099175
419	1.054737549
420	1.054551782
421	1.054192402
422	1.053970093
423	1.053715111
424	1.053335384
425	1.05305448
426	1.05261803
427	1.052292978
428	1.051901744
429	1.051569981
430	1.051162146
431	1.050814342
432	1.050258505
433	1.049788026
434	1.049352716
435	1.048827591
436	1.048371029
437	1.048009958
438	1.047739513
439	1.047417706
440	1.046981264
441	1.046533501
442	1.046068933
443	1.045708848
444	1.045267468
445	1.044990723
446	1.044557297
447	1.044379668
448	1.043910412
449	1.043521344
450	1.043171894
451	1.04280468
452	1.042426503
453	1.042097769
454	1.041882131
455	1.041496911
456	1.04108586
457	1.040875752
458	1.040456845
459	1.040121402
460	1.039780519
461	1.039530916
462	1.039214749
463	1.038869373
464	1.038532453
465	1.03828965
466	1.037899265
467	1.037549392
468	1.037156942
469	1.036835408
470	1.036611302
471	1.036206827
472	1.035799206
473	1.035350691
474	1.035076734
475	1.034691848
476	1.03441994
477	1.033997519
478	1.033637297
479	1.033295287
480	1.032833489
481	1.032506743
482	1.032122223
483	1.031921548
484	1.031511841
485	1.031206885
486	1.030827243
487	1.030445271
488	1.030172261
489	1.029805058
490	1.029650529
491	1.029475702
492	1.029266915
493	1.028912327
494	1.028578693
495	1.028270038
496	1.027846191
497	1.027437424
498	1.027231671
499	1.026951026
500	1.026493413
501	1.026035983
502	1.025449206
503	1.025077956
504	1.024804674
505	1.024557996
506	1.024369242
507	1.024039838
508	1.023714389
509	1.023484432
510	1.023275619
511	1.022920252
512	1.022607216
513	1.022217232
514	1.021933721
515	1.021481008
516	1.02122572
517	1.020854102
518	1.020441019
519	1.020156937
520	1.019724716
521	1.01956157
522	1.019192527
523	1.018766757
524	1.018453646
525	1.018086635
526	1.01785346
527	1.017410477
528	1.017175661
529	1.016832704
530	1.016628585
531	1.016205587
532	1.015857152
533	1.015575171
534	1.015121641
535	1.014715369
536	1.014354413
537	1.014018631
538	1.013593986
539	1.013257017
540	1.012916896
541	1.012565005
542	1.012162174
543	1.011906346
544	1.011475835
545	1.010892653
546	1.010490402
547	1.010204312
548	1.009918953
549	1.009462443
550	1.009184392
551	1.008933409
552	1.008591347
553	1.008316059
554	1.007949412
555	1.007795739
556	1.007610522
557	1.007271562
558	1.006952897
559	1.006582605
560	1.006416964
561	1.006056646
562	1.005706783
563	1.005442997
564	1.005216283
565	1.004881495
566	1.004664583
567	1.004327382
568	1.003963043
569	1.003655101
570	1.003229795
571	1.002995385
572	1.002657144
573	1.002533603
574	1.002156734
575	1.001714026
576	1.00142216
577	1.001262704
578	1.001076854
579	1.000657985
580	1.000506264
581	1.000257687
582	0.9999967851
583	0.9995153072
584	0.9992770984
585	0.9989941838
586	0.9987424822
587	0.9982192734
588	0.998081201
589	0.997727154
590	0.997342268
591	0.9970421939
592	0.9967375705
593	0.9964110715
594	0.9963091297
595	0.9961563852
596	0.9959124482
597	0.9956696737
598	0.9953656714
599	0.9950141745
600	0.9947437449
601	0.9943446875
602	0.9941499194
603	0.9939385262
604	0.9936143455
605	0.9932698999
606	0.9929185236
607	0.9926446742
608	0.9922960615
609	0.9920834933
610	0.991779761
611	0.9914192535
612	0.991065987
613	0.9907931031
614	0.9903511008
615	0.9899549464
616	0.9896482591
617	0.9894075625
618	0.9891030629
619	0.9887247864
620	0.988424537
621	0.9880642476
622	0.9877358077
623	0.987377759
624	0.9871782414
625	0.9869547899
626	0.98661847
627	0.9862658469
628	0.9859854198
629	0.9855635545
630	0.9853830079
631	0.9851550458
632	0.9848255561
633	0.9844971493
634	0.9842964704
635	0.9839993401
636	0.983674095
637	0.9834454639
638	0.9832250733
639	0.9827805958
640	0.9826099442
641	0.9824359828
642	0.9822317876
643	0.9820418501
644	0.9819111155
645	0.9816877016
646	0.9814558554
647	0.98120026
648	0.9808538628
649	0.9805871263
650	0.9802655888
651	0.9800211419
652	0.9797952068
653	0.9794440051
654	0.979131156
655	0.9789244672
656	0.9785485271
657	0.9780786149
658	0.9776933811
659	0.9774184436
660	0.9772173566
661	0.9769449092
662	0.9767219431
663	0.9765071043
664	0.9760981243
665	0.9758475243
666	0.9754363499
667	0.9751547833
668	0.9749000373
669	0.9744750131
670	0.9740972824
671	0.9738361325
672	0.9736944261
673	0.9734547172
674	0.9732367407
675	0.9730338232
676	0.9727921248
677	0.9725442742
678	0.9723133282
679	0.9720652769
680	0.9715765538
681	0.9712750227
682	0.9711256058
683	0.9708273674
684	0.9704586256
685	0.9701244358
686	0.9698390714
687	0.9696775945
688	0.9693560361
689	0.9691252444
690	0.9688706968
691	0.9687504707
692	0.9685331124
693	0.9683687993
694	0.9680420313
695	0.9676465565
696	0.9673473929
697	0.9670127886
698	0.9667767249
699	0.9664990562
700	0.9661612626
701	0.9658601207
702	0.9655308516
703	0.9651689534
704	0.9648479118
705	0.9646141821
706	0.9643221243
707	0.9639537927
708	0.9636636419
709	0.9633949776
710	0.9630252513
711	0.9627266694
712	0.9623815423
713	0.9622490221
714	0.9621383685
715	0.961798512
716	0.9614863836
717	0.961254752
718	0.9610487363
719	0.9608347496
720	0.9605073886
721	0.960135937
722	0.9598592192
723	0.9595568502
724	0.9593509699
725	0.9589433188
726	0.9586883425
727	0.9585881962
728	0.9585125265
729	0.9581765073
730	0.9578514794
731	0.9575970406
732	0.957312813
733	0.9570140311
734	0.9568260026
735	0.9565284592
736	0.9562758845
737	0.9559598705
738	0.9556737039
739	0.9552104304
740	0.9548948718
741	0.9545293356
742	0.9542043503
743	0.9538509594
744	0.9536043371
745	0.9531733291
746	0.9528646778
747	0.9526625761
748	0.9524587192
749	0.9522059993
750	0.9519916731
751	0.9517435317
752	0.9515706509
753	0.9513099479
754	0.9510708996
755	0.9508641106
756	0.9505115262
757	0.950196026
758	0.9499239582
759	0.9496552716
760	0.9493796157
761	0.9492350268
762	0.9490411431
763	0.9487815096
764	0.948630187
765	0.9483483048
766	0.9482044941
767	0.9477798607
768	0.9475777659
769	0.9473072871
770	0.9469326266
771	0.9466646909
772	0.9464878454
773	0.9462310255
774	0.946075274
775	0.9458398797
776	0.9456102627
777	0.9453281424
778	0.9449744085
779	0.9447973119
780	0.9446226767
781	0.9443003483
782	0.9441308874
783	0.9438536153
784	0.9436696878
785	0.943425694
786	0.9431729558
787	0.9428296383
788	0.9424747955
789	0.942135107
790	0.9419207863
791	0.9416048065
792	0.9413905083
793	0.9412216263
794	0.9408740573
795	0.9406576745
796	0.9403903696
797	0.940223594
798	0.9400468538
799	0.9396576982
800	0.9394018672
801	0.9390232672
802	0.9388925539
803	0.9386114911
804	0.9383358067
805	0.9379863686
806	0.9376502047
807	0.9372899257
808	0.9369796532
809	0.9367122148
810	0.9365269472
811	0.9362510196
812	0.9359968746
813	0.9358250113
814	0.9355812716
815	0.9354491057
816	0.935147275
817	0.9349739844
818	0.9346890783
819	0.9344084205
820	0.9341286808
821	0.9339651097
822	0.9336087886
823	0.9332420612
824	0.932906787
825	0.9326744059
826	0.9323440681
827	0.9322032849
828	0.932009287
829	0.9316483772
830	0.9315247292
831	0.9313296588
832	0.9310485163
833	0.9306433854
834	0.9302651295
835	0.9300883853
836	0.9298916878
837	0.9296282555
838	0.9293169682
839	0.9290766887
840	0.9288933015
841	0.92847784
842	0.9282599823
843	0.9281095473
844	0.9279257326
845	0.9277910856
846	0.927553841
847	0.9272686446
848	0.9269663024
849	0.9268543676
850	0.9264377701
851	0.9261396948
852	0.9259032138
853	0.9257538031
854	0.9254210992
855	0.9251807204
856	0.9248998324
857	0.9247930989
858	0.9246032135
859	0.924230104
860	0.9239650891
861	0.9237944021
862	0.9234369313
863	0.9232835953
864	0.9231704664
865	0.9229740395
866	0.9226421987
867	0.9225125175
868	0.9223660413
869	0.9219044788
870	0.9215767429
871	0.9214190982
872	0.9212265689
873	0.9207862235
874	0.9205304511
875	0.9202734788
876	0.9198702519
877	0.9196505036
878	0.9193630869
879	0.9190225037
880	0.9187818818
881	0.9186422341
882	0.9183945294
883	0.9181837085
884	0.9179049102
885	0.9176018964
886	0.9174483192
887	0.9172875494
888	0.9168735721
889	0.9165597234
890	0.9163408759
891	0.9161269528
892	0.9159243272
893	0.9155609196
894	0.915268467
895	0.9150201605
896	0.9147745238
897	0.914354827
898	0.9141155045
899	0.9137259256
900	0.9136197506
901	0.913232588
902	0.9130017515
903	0.9127762691
904	0.9125479473
905	0.9122764192
906	0.9119612
907	0.9117642569
908	0.911529256
909	0.911196003
910	0.91098467
911	0.9107080187
912	0.9104548312
913	0.9102384761
914	0.909870167
915	0.9095454384
916	0.9092967463
917	0.9090878826
918	0.9088963713
919	0.9085511373
920	0.908436834
921	0.9081139582
922	0.9078869628
923	0.907603233
924	0.9074188807
925	0.9072304772
926	0.9069259864
927	0.9066196549
928	0.9064910822
929	0.9061369685
930	0.9060504248
931	0.9059400151
932	0.905842327
933	0.9055305671
934	0.9054472625
935	0.9052150004
936	0.9049888203
937	0.9046507992
938	0.9042863738
939	0.90407296
940	0.9037549666
941	0.9036010175
942	0.9033043949
943	0.9031358333
944	0.9029794203
945	0.902654933
946	0.9023245588
947	0.9019560565
948	0.9016826116
949	0.9013704521
950	0.9012517982
951	0.9011010974
952	0.9009171519
953	0.9006783235
954	0.9005557421
955	0.9003347649
956	0.9000724719
957	0.8998712538
958	0.8996234966
959	0.8994190857
960	0.8990546902
961	0.8988978603
962	0.8986555492
963	0.898356438
964	0.8981213922
965	0.8979539171
966	0.8977226223
967	0.8976075761
968	0.8972872899
969	0.8971534961
970	0.8969503472
971	0.89669647
972	0.8963895661
973	0.8961382417
974	0.8958637359
975	0.895510137
976	0.8953508013
977	0.8950460283
978	0.8948119976
979	0.8946657846
980	0.894449286
981	0.8942243994
982	0.8940448258
983	0.8938105569
984	0.8934943196
985	0.8931021726
986	0.8929288845
987	0.892521338
988	0.8923968279
989	0.8921631396
990	0.8920097974
991	0.8917263135
992	0.8914743245
993	0.8912062759
994	0.8909926728
995	0.890699407
996	0.8904365115
997	0.8903068548
998	0.8900288617
999	0.8898142322
