iter	Passed	Remaining
402	8277	12262
403	8294	12236
404	8311	12210
405	8332	12191
406	8349	12165
407	8366	12139
408	8383	12113
409	8399	12087
410	8416	12061
411	8433	12036
412	8452	12013
413	8471	11991
414	8487	11964
415	8505	11940
416	8521	11914
417	8537	11887
418	8556	11864
419	8572	11837
420	8588	11811
421	8609	11792
422	8626	11767
423	8642	11741
424	8660	11717
425	8677	11691
426	8696	11670
427	8712	11644
428	8729	11619
429	8746	11594
430	8762	11568
431	8779	11542
432	8796	11519
433	8816	11497
434	8833	11472
435	8849	11448
436	8866	11423
437	8883	11397
438	8899	11372
439	8920	11353
440	8937	11329
441	8954	11304
442	8971	11279
443	8993	11262
444	9013	11241
445	9030	11216
446	9046	11191
447	9063	11167
448	9082	11146
449	9100	11122
450	9117	11098
451	9133	11073
452	9150	11048
453	9166	11024
454	9182	10999
455	9199	10974
456	9217	10952
457	9235	10929
458	9252	10905
459	9269	10881
460	9285	10856
461	9301	10831
462	9318	10808
463	9335	10784
464	9352	10760
465	9369	10736
466	9385	10712
467	9403	10689
468	9420	10665
469	9439	10644
470	9457	10622
471	9474	10599
472	9491	10574
473	9508	10551
474	9524	10527
475	9541	10503
476	9558	10480
477	9579	10461
478	9595	10437
479	9611	10412
480	9628	10389
481	9646	10366
482	9663	10344
483	9679	10319
484	9696	10296
485	9713	10272
486	9730	10249
487	9746	10226
488	9768	10208
489	9785	10185
490	9801	10161
491	9818	10137
492	9834	10113
493	9852	10091
494	9872	10071
495	9889	10048
496	9906	10025
497	9923	10003
498	9940	9979
499	9961	9961
500	9981	9942
501	10010	9930
502	10027	9907
503	10044	9884
504	10060	9861
505	10077	9838
506	10093	9815
507	10110	9791
508	10126	9768
509	10142	9745
510	10158	9721
511	10176	9699
512	10193	9677
513	10210	9654
514	10227	9631
515	10243	9608
516	10260	9585
517	10277	9562
518	10294	9540
519	10311	9517
520	10328	9495
521	10344	9472
522	10361	9450
523	10377	9427
524	10399	9408
525	10416	9386
526	10432	9363
527	10450	9341
528	10466	9319
529	10483	9296
530	10499	9273
531	10516	9251
532	10532	9228
533	10554	9210
534	10570	9187
535	10587	9165
536	10604	9142
537	10621	9120
538	10640	9100
539	10660	9080
540	10677	9058
541	10694	9036
542	10710	9014
543	10727	8992
544	10747	8972
545	10763	8950
546	10781	8928
547	10797	8906
548	10814	8883
549	10830	8861
550	10852	8843
551	10869	8821
552	10884	8798
553	10900	8775
554	10921	8756
555	10938	8735
556	10960	8717
557	10977	8695
558	10996	8674
559	11012	8652
560	11028	8630
561	11045	8608
562	11064	8588
563	11082	8567
564	11099	8545
565	11116	8523
566	11132	8501
567	11149	8479
568	11166	8457
569	11184	8437
570	11201	8415
571	11217	8393
572	11234	8372
573	11250	8349
574	11267	8327
575	11283	8306
576	11300	8284
577	11315	8261
578	11332	8239
579	11349	8218
580	11368	8198
581	11385	8176
582	11401	8155
583	11418	8133
584	11437	8113
585	11457	8094
586	11474	8073
587	11493	8053
588	11510	8032
589	11531	8013
590	11548	7992
591	11565	7970
592	11581	7948
593	11597	7927
594	11613	7905
595	11629	7883
596	11646	7861
597	11661	7839
598	11678	7818
599	11695	7796
600	11711	7775
601	11728	7754
602	11745	7732
603	11761	7711
604	11778	7689
605	11794	7668
606	11811	7647
607	11833	7629
608	11850	7608
609	11865	7586
610	11882	7565
611	11904	7547
612	11923	7527
613	11942	7507
614	11959	7487
615	11982	7469
616	11999	7448
617	12016	7427
618	12033	7406
619	12049	7385
620	12066	7364
621	12083	7343
622	12099	7321
623	12116	7300
624	12135	7281
625	12153	7261
626	12174	7242
627	12191	7221
628	12217	7206
629	12253	7196
630	12269	7174
631	12285	7153
632	12302	7132
633	12318	7111
634	12336	7090
635	12354	7070
636	12371	7049
637	12387	7028
638	12403	7007
639	12420	6986
640	12437	6965
641	12453	6944
642	12470	6923
643	12488	6903
644	12506	6883
645	12522	6862
646	12539	6841
647	12555	6820
648	12572	6799
649	12592	6780
650	12608	6759
651	12624	6738
652	12641	6717
653	12658	6696
654	12674	6675
655	12691	6655
656	12708	6634
657	12725	6613
658	12742	6593
659	12761	6573
660	12777	6553
661	12797	6534
662	12815	6514
663	12831	6493
664	12848	6472
665	12864	6451
666	12886	6433
667	12905	6414
668	12923	6393
669	12940	6373
670	12957	6353
671	12973	6332
672	12989	6311
673	13007	6291
674	13024	6270
675	13040	6250
676	13056	6229
677	13073	6208
678	13089	6188
679	13106	6167
680	13122	6147
681	13140	6126
682	13156	6106
683	13173	6085
684	13190	6065
685	13207	6045
686	13225	6025
687	13242	6005
688	13258	5984
689	13274	5964
690	13295	5945
691	13311	5924
692	13327	5904
693	13344	5883
694	13361	5863
695	13378	5843
696	13395	5823
697	13413	5803
698	13430	5783
699	13449	5764
700	13465	5743
701	13482	5723
702	13500	5703
703	13516	5683
704	13533	5662
705	13550	5642
706	13567	5622
707	13583	5602
708	13601	5582
709	13618	5562
710	13635	5542
711	13652	5522
712	13669	5502
713	13685	5481
714	13701	5461
715	13718	5441
716	13737	5422
717	13758	5403
718	13774	5383
719	13791	5363
720	13813	5345
721	13831	5325
722	13853	5307
723	13869	5287
724	13889	5268
725	13906	5248
726	13923	5228
727	13939	5208
728	13955	5187
729	13971	5167
730	13988	5147
731	14005	5127
732	14022	5107
733	14038	5087
734	14054	5067
735	14071	5047
736	14088	5027
737	14105	5007
738	14123	4987
739	14140	4968
740	14159	4948
741	14183	4931
742	14200	4911
743	14216	4891
744	14232	4871
745	14252	4852
746	14268	4832
747	14285	4812
748	14301	4792
749	14319	4773
750	14335	4753
751	14351	4733
752	14368	4713
753	14384	4693
754	14412	4676
755	14432	4658
756	14448	4638
757	14465	4618
758	14481	4598
759	14499	4578
760	14518	4559
761	14535	4539
762	14551	4519
763	14567	4499
764	14583	4479
765	14602	4460
766	14622	4442
767	14640	4422
768	14656	4402
769	14672	4382
770	14689	4362
771	14706	4343
772	14726	4324
773	14742	4304
774	14758	4284
775	14775	4265
776	14798	4247
777	14817	4228
778	14835	4208
779	14851	4188
780	14868	4169
781	14885	4149
782	14902	4129
783	14918	4110
784	14935	4090
785	14951	4070
786	14968	4051
787	14984	4031
788	15001	4011
789	15018	3992
790	15035	3972
791	15052	3953
792	15068	3933
793	15084	3913
794	15102	3894
795	15119	3874
796	15136	3855
797	15152	3835
798	15167	3815
799	15185	3796
800	15202	3776
801	15218	3757
802	15239	3738
803	15255	3719
804	15272	3699
805	15289	3680
806	15305	3660
807	15322	3640
808	15339	3621
809	15355	3601
810	15372	3582
811	15394	3564
812	15411	3544
813	15427	3525
814	15443	3505
815	15459	3485
816	15476	3466
817	15492	3447
818	15509	3427
819	15526	3408
820	15543	3388
821	15559	3369
822	15576	3349
823	15593	3330
824	15610	3311
825	15626	3291
826	15642	3272
827	15658	3252
828	15675	3233
829	15701	3216
830	15718	3196
831	15735	3177
832	15751	3157
833	15773	3139
834	15793	3120
835	15811	3101
836	15827	3082
837	15844	3063
838	15861	3043
839	15877	3024
840	15895	3005
841	15912	2985
842	15928	2966
843	15944	2947
844	15962	2928
845	15978	2908
846	15995	2889
847	16012	2870
848	16029	2850
849	16046	2831
850	16063	2812
851	16080	2793
852	16097	2774
853	16119	2755
854	16135	2736
855	16151	2717
856	16168	2697
857	16184	2678
858	16206	2660
859	16222	2640
860	16239	2621
861	16255	2602
862	16272	2583
863	16289	2564
864	16305	2544
865	16321	2525
866	16338	2506
867	16355	2487
868	16380	2469
869	16397	2450
870	16413	2430
871	16429	2411
872	16448	2392
873	16465	2373
874	16481	2354
875	16498	2335
876	16516	2316
877	16532	2297
878	16552	2278
879	16569	2259
880	16586	2240
881	16602	2221
882	16629	2203
883	16646	2184
884	16667	2165
885	16685	2146
886	16702	2127
887	16718	2108
888	16740	2090
889	16756	2071
890	16778	2052
891	16795	2033
892	16814	2014
893	16831	1995
894	16848	1976
895	16864	1957
896	16881	1938
897	16898	1919
898	16915	1900
899	16932	1881
900	16948	1862
901	16965	1843
902	16982	1824
903	16999	1805
904	17016	1786
905	17032	1767
906	17049	1748
907	17065	1729
908	17084	1710
909	17102	1691
910	17119	1672
911	17135	1653
912	17151	1634
913	17171	1615
914	17188	1596
915	17205	1577
916	17221	1558
917	17238	1539
918	17254	1520
919	17270	1501
920	17287	1482
921	17304	1463
922	17321	1444
923	17342	1426
924	17358	1407
925	17375	1388
926	17392	1369
927	17410	1350
928	17428	1331
929	17445	1313
930	17460	1294
931	17476	1275
932	17493	1256
933	17510	1237
934	17525	1218
935	17542	1199
936	17559	1180
937	17576	1161
938	17594	1142
939	17610	1124
940	17627	1105
941	17649	1086
942	17666	1067
943	17682	1048
944	17702	1030
945	17719	1011
946	17736	992
947	17757	974
948	17774	955
949	17793	936
950	17809	917
951	17825	898
952	17841	879
953	17858	861
954	17874	842
955	17891	823
956	17907	804
957	17923	785
958	17940	767
959	17956	748
960	17973	729
961	17989	710
962	18006	691
963	18022	673
964	18039	654
965	18055	635
966	18075	616
967	18091	598
968	18108	579
969	18124	560
970	18144	541
971	18163	523
972	18179	504
973	18196	485
974	18212	466
975	18229	448
976	18246	429
977	18263	410
978	18279	392
979	18295	373
980	18314	354
981	18332	336
982	18348	317
983	18365	298
984	18382	279
985	18400	261
986	18419	242
987	18435	223
988	18451	205
989	18467	186
990	18484	167
991	18500	149
992	18520	130
993	18537	111
994	18553	93
995	18570	74
996	18594	55
997	18610	37
998	18632	18
999	18649	0
